index,id,url,#reviewers,#messages,#inline_comments,#unsolved_inline_comments,len_messages,churn,#revisions,#files,duration,len_description,subject categories,subject keywords,description categories,description keywords,subject,description
123153,qt%2Fqtbase~5.4~Ie5f621c30fc461b880292b853e0660b8fba316eb,https://codereview.qt-project.org/96274,4,7,0,0,379,80,2,1,18.1716666666667,541,refactoring/,refactor|,refactoring/,refactor|,Refactor tst_QFiledialog::completer().,"Refactor tst_QFiledialog::completer().  - Streamline code and remove code that has no effect. - Create temporary directory and files only when it is actually   required (empty start path). - Remove try/catch as it is not commonly used in Qt autotests.   Its original purpose was apparently to ensure temporary file   cleanup, but that should now work since smart pointers are used   for temporary files and directories. - Introduce variable for case sensitivity.  Task-number: QTBUG-41681 Change-Id: Ie5f621c30fc461b880292b853e0660b8fba316eb"
123203,qt-creator%2Fqt-creator~3.2~I154ebcc01a870b0bf3912a69b37184fd2f37092a,https://codereview.qt-project.org/96206,3,7,3,0,543,50,3,1,18.8041666666667,93,refactoring/,refactor|,refactoring/,refactor|,Squish: Refactor and improve tst_CSUP01,Squish: Refactor and improve tst_CSUP01  Change-Id: I154ebcc01a870b0bf3912a69b37184fd2f37092a
123459,qt-creator%2Fqt-creator~master~I38e2adf188d4604182ec84003dc5d281fce025cc,https://codereview.qt-project.org/95970,5,9,4,0,906,146,3,1,18.6902777777778,652,refactoring/,refactor|,refactoring/,refactor|,Qbs: refactor property provider.,"Qbs: refactor property provider.  Set toolchain list centrally.  Set target OS for additional operating systems: WinRT, Windows CE, Android, FreeBSD, NetBSD, OpenBSD, BSD (generic), BlackBerry, QNX, and Solaris.  No more ""else assumptions"" which would for example detect Clang on Windows as MSVC, any non-Clang toolchains as GCC, or any unrecognized operating systems as Unix.  bsd4 is gone as it is not necessary in any practical sense (and no other operating systems have different identifiers by version -- there is a dedicated hostOSVersion property anyways).  Detect iOS without relying on Qt.  Change-Id: I38e2adf188d4604182ec84003dc5d281fce025cc"
123731,qt%2Fqtbase~5.4~I0d549886585d90e4701a2430503bc0d2d716e341,https://codereview.qt-project.org/95665,3,12,2,0,630,207,2,2,21.6127777777778,170,refactoring/,refactor|,refactoring/,refactor|,refactor VCXProjectWriter::outputFileConfig,refactor VCXProjectWriter::outputFileConfig  Put common code into a function. Subsequent patches will become easier.  Change-Id: I0d549886585d90e4701a2430503bc0d2d716e341
123756,qt%2Fqtserialport~5.3~Ibbac03a17fdd41bbaf530f863e7c690a15708bd2,https://codereview.qt-project.org/88878,9,17,0,0,3430,512,7,2,2027.4425,621,refactoring/,refactor|,refactoring/,refactor|,Refactor of the QSerialPortInfo for OS X,"WIP Refactor the QSerialPortInfo for MacX  The current implementation of the qserialportinfo_mac.cpp module is a little confused and complicated.  It is reasonable to re-write it using some ready wrappers of CFTypeRef, CFStringRef and others objects from the private qcore_mac_p.h file.  Thus, it will allow to bypass of manual releasing of the allocated resources (using the RAII idiom where it is possible), and also to simplify a code.  Tested on MacOSX 10.8.4 with the on-board, USB PL2303, USB FTDI, USB Android serial ports and with the USB ZTE Modem using Qt4.  Change-Id: Ibbac03a17fdd41bbaf530f863e7c690a15708bd2"
124022,qt%2Fqtbase~5.4~I4c4834df490bc8b0bac32aeedbd819780bd5aaba,https://codereview.qt-project.org/95156,7,23,7,0,980,637,5,8,70.4683333333333,2226,refactoring/,refactor|,refactoring/,refactor|,iOS: Refactor text input handling to standalone responder,"iOS: Refactor text input handling to standalone responder  Instead of coupling the visibility of the virtual keyboard to the first-responder status of the currently active QUIView, we now treat first-responder as a separate state, tied directly to QWindow activation. This fits better with the concept of first-responders in iOS, as a UIView can become first-responder without dealing with text input, eg when dealing with touch events or menu actions.  The decision point on whether or not to show the virtual keyboard is then handled by implementing the conformsToProtocol method and selectively returning YES for the UIKeyInput protocol. iOS internally calls _requiresKeyboardWhenFirstResponder on the UIResponder to determine this, but since we can't override a private method (like WKContentView in WebKit does) we have to rely on the fact that the implementation of the method uses the protocol conformance to make its decision.  Once the virtual keyboard is up, we then need to react to changes to its configuration, such as keyboard type or the type of return key. Normally this would be a simple call to [view reloadInputViews], but iOS will not reload the built-in keyboards unless the UIResponder returns YES for _requiresKeyboardResetOnReload. Since we again can't override this private method (like WebKit does), we work around it by taking advantage of the fact that iOS will treat any change to the first-responder as a reason to do a keyboard reset. By using a stand-alone UIResponder for text input we can init and destroy these responders as needed, so that every call to reloadInputViews will trigger a reset, as the responder has not been seen before.  We keep track of changes to the input-method-query, and detect whether or not we need to bring up a new UIResponder for text handling.  As part of this refactoring we now tie the visibility of the virtual keyboard to the presence of a focus object that has input-methods enabled. This means that we automatically will track changes to input-elements through the focus changes, and reconfigure or hide the keyboard as appropriate. As a result the hide() method of QInputMethod becomes a no-op on iOS.  Change-Id: I4c4834df490bc8b0bac32aeedbd819780bd5aaba"
124246,qt-labs%2Ftalk-schedule~master~I0f5760abee0098aa0c99e4a65ccee716dca7a3fb,https://codereview.qt-project.org/95055,3,16,0,0,752,566,8,14,13.7483333333333,109,refactoring/,refactor|,refactoring/,refactor|,Refactor application to enable proper authentication,WIP Refactor application to enable proper authetication  Change-Id: I0f5760abee0098aa0c99e4a65ccee716dca7a3fb
124650,qt%2Fqtlocation~dev~I1d3dc556d73e273e2e364f77e2decaad11810547,https://codereview.qt-project.org/330872,3,7,3,0,770,631,2,31,39.8302777777778,337,refactoring/,refactor|,refactoring/,refactor|,QtPositioning: refactor QGeoPositionInfoSourceFactory,QtPositioning: refactor QGeoPositionInfoSourceFactory  [ChangeLog][QtPositioning][Important Behavior Changes] Remove QGeoPositionInfoSourceFactoryV2 and update QGeoPositionInfoSourceFactory to support source configuration parameters. Update plugin ID string.  Task-number: QTBUG-90491 Change-Id: I1d3dc556d73e273e2e364f77e2decaad11810547
125818,qtsdk%2Fqtsdk~master~I3edad7b6221191e946b3933368eb4ade1e08985b,https://codereview.qt-project.org/93633,6,3,0,0,96,13,2,1,2.29388888888889,134,refactoring/,refactor|,refactoring/,refactor|,Refactor -D QT_EVAL flag usage,Refactor -D QT_EVAL flag usage  Should be always used for all enterprise builds.  Change-Id: I3edad7b6221191e946b3933368eb4ade1e08985b
125856,qt%2Fqtbase~dev~I85eef86d35f0d1e2da25f09d92204e32abf6d7d3,https://codereview.qt-project.org/93067,6,17,7,0,617,9,3,1,175.493611111111,179,refactoring/,refactor|,refactoring/,refactor|,Refactor QString::contains(QRegularExpression),"Refactor QString::contains(QRegularExpression)  Unify the code of the two overloads, and use an opportunity to insert a move.  Change-Id: I85eef86d35f0d1e2da25f09d92204e32abf6d7d3"
126022,qbs%2Fqbs~1.3~I541abbf8e8ffa05190980179ecb0919184f130eb,https://codereview.qt-project.org/93390,3,3,0,0,96,18,2,1,0.582222222222222,202,refactoring/,refactor|,refactoring/,refactor|,qtprofilesetup: Refactor qt_lib_*.pri file reading.,qtprofilesetup: Refactor qt_lib_*.pri file reading.  Move this functionality to a dedicated function. It will get more complex in a follow-up patch.  Change-Id: I541abbf8e8ffa05190980179ecb0919184f130eb
